name,mz,rt,Size_3_3,Size_3_1,Size_3_2,Size_5_1,Size_1_2,Size_4_2,Size_2_2,Size_2_3,Size_6_2,Size_1_3,Size_4_1,Size_2_1,Size_1_1,Size_6_1,Size_5_2
M800T514_2_NEG,800.2650852,513.9317932,2079394.802,2417933.73,2461804.412,2477861.347,2754498.35,2799926.405,3211944.176,3609057.881,2662758.012,3282726.255,2818317.87,3034679.149,3103597.793,3010800.885,2124464.695
M802T522_NEG,802.2194815,522.1068115,8476246.233,9680365.77,9644260.439,5999891.911,6002469.894,5790211.705,6520416.753,6090894.236,6303442.589,6380626.262,5912384.684,5939473.751,6881733.33,7208970.258,4370060.311
M803T118_NEG,802.5606516,117.9868622,7773353.921,13958661.82,8950099.533,16636741.24,7533279.646,9682701.087,9359158.945,16493088.89,24931681.17,8579969.937,5918000.507,13508490.83,6265942.896,4849115.193,8303414.013
M803T522_1_NEG,802.72082,522.2270508,4852660.928,6232840.588,6152127.545,3388790.362,3547294.624,3888183.955,3724876.678,4019156.024,4546264.862,4148349.551,4334047.186,4303550.598,4392206.212,4521740.114,3082195.409
M803T522_2_NEG,803.2215997,522.3847656,2529927.915,3330329.283,3433035.118,1946026.484,2064388.354,2151580.937,2327851.608,2022712.758,2078975.639,2009168.402,2323502.329,2091449.145,2437675.621,2228042.521,1632271.072
M803T173_NEG,803.3635877,173.4778671,24579159.41,45333025.95,8223088.874,11029431.84,20987549.13,75067166.41,20259639.21,6414949.836,48217414.17,8386435.83,29719448.1,17955519.76,8511640.934,8751409.633,13578088.06
M804T118_NEG,803.5640025,118.146328,3392202.986,6197052.485,4043925.485,8061919.977,3423677.888,4455708.902,4043793.511,7923540.471,11062172.78,3494147.696,2506753.743,6299212.958,2874352.058,1891859.402,3396418.964
M804T174_NEG,804.3672931,173.7723083,9807917.459,18183225.83,3176303.281,4031900.04,8120018.442,27951653.75,7079511.509,1830899.735,19943009.07,3105890.286,11659151.55,6945955.375,3014794.776,3509671.985,5150396.263
M805T118_NEG,804.5689203,118.1846848,945976.1844,1368424.618,729872.2806,2016557.384,1035997.962,1374682.349,1396961.516,2214326.969,3582852.522,1285887.491,835014.3786,2286077.022,856917.5456,536594.3087,1113528.294
M805T174_NEG,805.3620355,173.5519333,8559779.656,15896688.28,2359974.387,3590513.058,6749189.408,26333053.11,6828142.544,1995154.552,17660312.7,2549539.854,10621373.55,5926546.491,2758008.384,2698266.434,4454207.641
M806T173_NEG,806.3638173,173.4373779,2860565.102,6712921.01,661782.9488,1179429.444,3114548.174,10489276.69,2837824.352,1326805.652,6822299.876,865652.9918,4264360.019,2174354.49,996506.8755,743924.3144,1261638.539
M808T70_NEG,808.4853938,70.33866501,10949344.9,3218437.994,607967.709,13028818.26,43354248.34,3871238.899,2202145.212,4806541.847,3597520.213,4965584.201,8870754.79,2396070.244,8975228.492,15030752.26,21620603.52
M809T522_NEG,809.2271185,521.960022,1721768.101,2041330.93,1136094.424,951175.8042,1182735.832,1237151.395,1089638.115,1006975.026,1005135.744,983652.112,1186932.716,1245096.074,1524549.775,1383260.47,964306.8313
M809T68_NEG,809.4967966,67.87691498,11793413,4281830.42,2813603.567,15249558.61,22707291.06,4601491.331,7184831.75,3356860.511,5147431.092,4610903.602,7546747.825,6069197.531,6642822.316,9928812.071,20056928.72
