peak_group_id,peak_name,mz,rt,isotope,adduct,base_peak,neutral_mass,num_peaks
[49],M402T390_NEG,402.1339,390.2,[M+1],[M+CH3COO]-,M341T390_NEG,342.116,12
[49],M403T390_NEG,403.1347,390.2,[M+2],[M+CH3COO]-,M341T390_NEG,342.116,12
[49],M683T389_NEG,683.2245,389.5,[M],[2M-H]-,M341T390_NEG,342.116,12
[49],M684T390_NEG,684.2288,389.9,[M+1],[2M-H]-,M341T390_NEG,342.116,12
[49],M685T389_NEG,685.2311,389.5,[M+2],[2M-H]-,M341T390_NEG,342.116,12
[49],M686T390_NEG,686.2346,390.1,[M+3],[2M-H]-,M341T390_NEG,342.116,12
[50],M71T263_NEG,71.012200000000007,263.2,[M],ISF,M101T264_NEG,102.0302,2
[50],M101T264_NEG,101.0229,264.5,[M],[M-H]-,M101T264_NEG,102.0302,2
[51],M74T423_NEG,74.0231,423.2,[M],[M-CH2O-H]-,M104T424_NEG,105.0411,4
[51],M104T424_NEG,104.0338,423.9,[M],[M-H]-,M104T424_NEG,105.0411,4
[51],M145T423_NEG,145.0606,422.7,[M],[M+CH3CN-H]-,M104T424_NEG,105.0411,4
[51],M146T423_NEG,146.0639,422.7,[M+1],[M+CH3CN-H]-,M104T424_NEG,105.0411,4
[53],M119T199_NEG,119.0335,199.4,[M],[M+CH3COO]-,M119T199_NEG,60.0197,1
[54],M82T324_NEG,82.0282,324.3,[M],ISF,M126T324_NEG,145.0362,2
[54],M126T324_NEG,126.0183,324.3,[M],[M-H2O-H]-,M126T324_NEG,145.0362,2
[57],M148T354_NEG,148.0426,354.3,[M],[M-H]-,M148T354_NEG,149.0499,1
[58],M71T399_NEG,71.0123,398.6,[M],ISF,M149T398_1_NEG,150.0515,3
[58],M131T397_NEG,131.0336,396.9,[M],ISF,M149T398_1_NEG,150.0515,3
[58],M149T398_1_NEG,149.0442,397.8,[M],[M-H]-,M149T398_1_NEG,150.0515,3
[59],M149T331_NEG,149.0442,331.3,[M],[M-H]-,M149T331_NEG,150.0515,1
[60],M149T331_NEG,149.0442,331.3,[M],[M+CH3COO]-,M149T331_NEG,90.0304,1
[61],M161T407_NEG,161.0443,407.3,[M],[M+CH3COO]-,M161T407_NEG,102.0305,1
[64],M71T399_NEG,71.0123,398.6,[M],ISF,M184T400_NEG,185.0081,6
[64],M72T399_NEG,72.0075,398.6,[M],ISF,M184T400_NEG,185.0081,6
[64],M100T399_3_NEG,100.0388,398.6,[M],ISF,M184T400_NEG,185.0081,6
[64],M101T399_2_NEG,101.0421,398.7,[M+1],ISF,M184T400_NEG,185.0081,6
[64],M102T399_NEG,102.0431,398.7,[M+2],ISF,M184T400_NEG,185.0081,6
[64],M184T400_NEG,184.0008,399.7,[M],[M-H]-,M184T400_NEG,185.0081,6
[65],M187T413_NEG,187.0238,413.2,[M],[M-H2O-H]-,M187T413_NEG,206.0417,1
[66],M188T372_NEG,188.0554,372.2,[M],[M+CH3COO]-,M188T372_NEG,129.0416,1
[67],M188T372_NEG,188.0554,372.2,[M],[M-H]-,M188T372_NEG,189.0627,1
[68],M189T286_NEG,189.0394,286,[M],[M+CH3COO]-,M189T286_NEG,130.0256,1
[69],M189T286_NEG,189.0394,286,[M],[M-H]-,M189T286_NEG,190.0467,1
[70],M193T137_NEG,193.0709,136.7,[M],[M-H]-,M193T137_NEG,194.0782,3
[70],M229T136_NEG,229.048,136,[M],[M+Cl]-,M193T137_NEG,194.0782,3
[70],M253T137_NEG,253.093,136.7,[M],[M+CH3COO]-,M193T137_NEG,194.0782,3
[71],M181T318_2_NEG,181.0708,318.4,[M],ISF,M219T318_NEG,160.0312,3
[71],M182T318_NEG,182.074,318.3,[M+1],ISF,M219T318_NEG,160.0312,3
[71],M219T318_NEG,219.045,318.3,[M],[M+CH3COO]-,M219T318_NEG,160.0312,3
[72],M225T395_NEG,225.0611,395,[M],[M+CH3COO]-,M225T395_NEG,166.0473,2
[72],M226T395_NEG,226.0643,395,[M+1],[M+CH3COO]-,M225T395_NEG,166.0473,2
[73],M225T395_NEG,225.0611,395,[M],[M-H]-,M225T395_NEG,226.0684,2
[73],M226T395_NEG,226.0643,395,[M+1],[M-H]-,M225T395_NEG,226.0684,2
[74],M225T395_NEG,225.0611,395,[M],[M+K-2H]-,M225T395_NEG,188.1125,2
[74],M226T395_NEG,226.0643,395,[M+1],[M+K-2H]-,M225T395_NEG,188.1125,2
[76],M71T326_NEG,71.0123,325.7,[M],ISF,M225T325_NEG,226.0684,5
[76],M119T326_NEG,119.0335,326.3,[M],ISF,M225T325_NEG,226.0684,5
[76],M179T326_NEG,179.055,326.1,[M],[M-CH2O2-H]-,M225T325_NEG,226.0684,5
[76],M225T325_NEG,225.0611,325.4,[M],[M-H]-,M225T325_NEG,226.0684,5
[76],M226T326_NEG,226.0643,326.2,[M+1],[M-H]-,M225T325_NEG,226.0684,5
[77],M231T136_NEG,231.0451,136.3,[M],[M+Na-2H]-,M231T136_NEG,210.0704,1
[78],M207T398_NEG,207.0502,398.2,[M],[M-CH2O-H]-,M237T397_NEG,238.0687,6
[78],M209T398_NEG,209.066,397.8,[M],[M-CO-H]-,M237T397_NEG,238.0687,6
[78],M210T398_NEG,210.0694,397.8,[M+1],[M-CO-H]-,M237T397_NEG,238.0687,6
[78],M211T398_NEG,211.0703,397.7,[M+2],[M-CO-H]-,M237T397_NEG,238.0687,6
[78],M237T397_NEG,237.0614,396.9,[M],[M-H]-,M237T397_NEG,238.0687,6
[78],M238T397_NEG,238.0647,396.8,[M+1],[M-H]-,M237T397_NEG,238.0687,6
[79],M193T137_NEG,193.0709,136.7,[M],ISF,M239T137_NEG,180.063,2
[79],M239T137_NEG,239.0768,136.6,[M],[M+CH3COO]-,M239T137_NEG,180.063,2
[80],M100T399_3_NEG,100.0388,398.6,[M],ISF,M239T396_NEG,180.0631,5
[80],M101T399_2_NEG,101.0421,398.7,[M+1],ISF,M239T396_NEG,180.0631,5
[80],M102T399_NEG,102.0431,398.7,[M+2],ISF,M239T396_NEG,180.0631,5
[80],M165T398_NEG,165.0392,398.2,[M],[M-CH2-H]-,M239T396_NEG,180.0631,5
[80],M239T396_NEG,239.0769,396,[M],[M+CH3COO]-,M239T396_NEG,180.0631,5
[81],M241T99_NEG,241.0117,99.1,[M],[M+Na-2H]-,M241T99_NEG,220.037,2
[81],M242T98_NEG,242.0153,98.1,[M+1],[M+Na-2H]-,M241T99_NEG,220.037,2
[82],M245T281_NEG,245.043,281,[M],[M+Na-2H]-,M245T281_NEG,224.0683,1
[84],M255T100_NEG,255.0279,99.6,[M],[M+Na-2H]-,M255T100_NEG,234.0532,2
[84],M269T100_NEG,269.025,99.6,[M],[M+Cl]-,M255T100_NEG,234.0532,2
[85],M119T326_NEG,119.0335,326.3,[M],ISF,M266T329_NEG,267.0957,2
[85],M266T329_NEG,266.0884,329.2,[M],[M-H]-,M266T329_NEG,267.0957,2
[86],M220T289_NEG,220.0822,288.9,[M],[M-CH2O2-H]-,M266T289_NEG,267.0957,2
[86],M266T289_NEG,266.0884,288.9,[M],[M-H]-,M266T289_NEG,267.0957,2
[87],M275T364_NEG,275.0545,364.2,[M],[M+NH4-2H]-,M275T364_NEG,259.0352,1
[88],M301T95_NEG,301.0719,95.2,[M],[M+CH3COO]-,M301T95_NEG,242.0581,3
[88],M302T95_NEG,302.0756,95.2,[M+1],[M+CH3COO]-,M301T95_NEG,242.0581,3
[88],M303T95_NEG,303.0779,94.5,[M+2],[M+CH3COO]-,M301T95_NEG,242.0581,3
[89],M323T366_NEG,323.0992,366.2,[M],[M+NH4-2H]-,M323T366_NEG,307.0799,2
[89],M324T366_NEG,324.1024,366.2,[M+1],[M+NH4-2H]-,M323T366_NEG,307.0799,2
[90],M325T367_NEG,325.1148,367.1,[M],[M-H2O-H]-,M325T367_NEG,344.1327,2
[90],M326T367_NEG,326.1181,367.1,[M+1],[M-H2O-H]-,M325T367_NEG,344.1327,2
[91],M147T273_NEG,147.0287,273,[M],ISF,M327T272_NEG,268.0798,2
[91],M327T272_NEG,327.0936,272.3,[M],[M+CH3COO]-,M327T272_NEG,268.0798,2
[92],M339T419_NEG,339.0935,419.3,[M],[M-H2O-H]-,M339T419_NEG,358.1114,3
[92],M340T420_NEG,340.0967,419.7,[M+1],[M-H2O-H]-,M339T419_NEG,358.1114,3
[92],M357T421_NEG,357.1044,421.2,[M],[M-H]-,M339T419_NEG,358.1114,3
[93],M343T418_NEG,343.1248,417.8,[M],[M-H]-,M343T418_NEG,344.1321,2
[93],M379T418_NEG,379.1015,418.1,[M],[M+Cl]-,M343T418_NEG,344.1321,2
[94],M100T399_3_NEG,100.0388,398.6,[M],ISF,M386T399_NEG,365.1758,4
[94],M101T399_2_NEG,101.0421,398.7,[M+1],ISF,M386T399_NEG,365.1758,4
[94],M102T399_NEG,102.0431,398.7,[M+2],ISF,M386T399_NEG,365.1758,4
[94],M386T399_NEG,386.1505,398.8,[M],[M+Na-2H]-,M386T399_NEG,365.1758,4
[95],M343T390_NEG,343.1136,390.1,[M],ISF,M390T390_NEG,353.1742,2
[95],M390T390_NEG,390.1228,390.1,[M],[M+K-2H]-,M390T390_NEG,353.1742,2
[96],M341T390_NEG,341.1087,390.1,[M],ISF,M417T389_NEG,358.11130000000003,7
[96],M342T390_NEG,342.1126,390.1,[M+1],ISF,M417T389_NEG,358.11130000000003,7
[96],M343T390_NEG,343.1136,390.1,[M+2],ISF,M417T389_NEG,358.11130000000003,7
[96],M379T392_NEG,379.083,392.1,[M],[M+Na-2H]-,M417T389_NEG,358.11130000000003,7
[96],M380T392_NEG,380.0863,392.1,[M+1],[M+Na-2H]-,M417T389_NEG,358.11130000000003,7
[96],M381T390_NEG,381.0876,390.4,[M+2],[M+Na-2H]-,M417T389_NEG,358.11130000000003,7
[96],M417T389_NEG,417.1251,389.5,[M],[M+CH3COO]-,M417T389_NEG,358.11130000000003,7
[97],M71T399_NEG,71.0123,398.6,[M],ISF,M442T397_NEG,383.1426,7
[97],M100T399_3_NEG,100.0388,398.6,[M],ISF,M442T397_NEG,383.1426,7
[97],M101T399_2_NEG,101.0421,398.7,[M+1],ISF,M442T397_NEG,383.1426,7
[97],M102T399_NEG,102.0431,398.7,[M+2],ISF,M442T397_NEG,383.1426,7
[97],M442T397_NEG,442.1564,396.8,[M],[M+CH3COO]-,M442T397_NEG,383.1426,7
[97],M443T397_NEG,443.1591,396.8,[M+1],[M+CH3COO]-,M442T397_NEG,383.1426,7
[97],M444T397_NEG,444.1608,396.8,[M+2],[M+CH3COO]-,M442T397_NEG,383.1426,7
[98],M341T390_NEG,341.1087,390.1,[M],ISF,M485T390_NEG,469.0729,4
[98],M342T390_NEG,342.1126,390.1,[M+1],ISF,M485T390_NEG,469.0729,4
[98],M343T390_NEG,343.1136,390.1,[M+2],ISF,M485T390_NEG,469.0729,4
[98],M485T390_NEG,485.0922,390.2,[M],[M+NH4-2H]-,M485T390_NEG,469.0729,4
[99],M502T393_NEG,502.1771,393,[M],[M+NH4-2H]-,M502T393_NEG,486.1578,2
[99],M503T392_NEG,503.1813,392.1,[M+1],[M+NH4-2H]-,M502T393_NEG,486.1578,2
[100],M503T434_NEG,503.1617,433.8,[M],[M-H]-,M503T434_NEG,504.169,3
[100],M504T434_NEG,504.1653,433.7,[M+1],[M-H]-,M503T434_NEG,504.169,3
[100],M505T434_NEG,505.1666,433.8,[M+2],[M-H]-,M503T434_NEG,504.169,3
[101],M503T434_NEG,503.1617,433.8,[M],[M+CH3COO]-,M503T434_NEG,444.1479,3
[101],M504T434_NEG,504.1653,433.7,[M+1],[M+CH3COO]-,M503T434_NEG,444.1479,3
[101],M505T434_NEG,505.1666,433.8,[M+2],[M+CH3COO]-,M503T434_NEG,444.1479,3
[102],M549T428_NEG,549.1666,428.3,[M],[M+K-2H]-,M549T428_NEG,512.218,4
[102],M550T428_NEG,550.1702,428.3,[M+1],[M+K-2H]-,M549T428_NEG,512.218,4
[102],M551T428_NEG,551.1717,428.4,[M+2],[M+K-2H]-,M549T428_NEG,512.218,4
[102],M552T429_NEG,552.1748,428.5,[M+3],[M+K-2H]-,M549T428_NEG,512.218,4
[103],M539T427_NEG,539.1384,427.2,[M],[M+Cl]-,M563T428_NEG,504.1681,7
[103],M540T427_NEG,540.141,427.2,[M+1],[M+Cl]-,M563T428_NEG,504.1681,7
[103],M541T427_NEG,541.1348,427.3,[M+2],[M+Cl]-,M563T428_NEG,504.1681,7
[103],M542T427_NEG,542.1386,427.2,[M+3],[M+Cl]-,M563T428_NEG,504.1681,7
[103],M563T428_NEG,563.1819,428.1,[M],[M+CH3COO]-,M563T428_NEG,504.1681,7
[103],M564T428_NEG,564.185,428.2,[M+1],[M+CH3COO]-,M563T428_NEG,504.1681,7
[103],M565T428_NEG,565.1867,428.3,[M+2],[M+CH3COO]-,M563T428_NEG,504.1681,7
[104],M575T504_NEG,575.1808,504.3,[M],[M+CH3COO]-,M575T504_NEG,516.167,2
[104],M576T504_NEG,576.1838,504.3,[M+1],[M+CH3COO]-,M575T504_NEG,516.167,2
[105],M566T427_NEG,566.1565,427,[M],[M+Na-2H]-,M604T428_NEG,545.1945,3
[105],M567T427_NEG,567.1609,426.9,[M+1],[M+Na-2H]-,M604T428_NEG,545.1945,3
[105],M604T428_NEG,604.2083,428.3,[M],[M+CH3COO]-,M604T428_NEG,545.1945,3
[106],M566T427_NEG,566.1565,427,[M],[M-CHO2-H]-,M633T428_NEG,612.1534,4
[106],M567T427_NEG,567.1609,426.9,[M+1],[M-CHO2-H]-,M633T428_NEG,612.1534,4
[106],M633T428_NEG,633.1281,428.2,[M],[M+Na-2H]-,M633T428_NEG,612.1534,4
[106],M634T428_NEG,634.1319,428.4,[M+1],[M+Na-2H]-,M633T428_NEG,612.1534,4
[107],M665T458_NEG,665.2139,457.9,[M],[M-H]-,M665T458_NEG,666.2212,11
[107],M666T458_NEG,666.2174,458.1,[M+1],[M-H]-,M665T458_NEG,666.2212,11
[107],M667T458_NEG,667.2195,458.2,[M+2],[M-H]-,M665T458_NEG,666.2212,11
[107],M668T458_NEG,668.22260000000006,458.1,[M+3],[M-H]-,M665T458_NEG,666.2212,11
[107],M701T458_NEG,701.1909,457.7,[M],[M+Cl]-,M665T458_NEG,666.2212,11
[107],M702T458_NEG,702.1952,458.1,[M+1],[M+Cl]-,M665T458_NEG,666.2212,11
[107],M703T458_NEG,703.1887,458,[M+2],[M+Cl]-,M665T458_NEG,666.2212,11
[107],M704T458_NEG,704.1928,458.1,[M+3],[M+Cl]-,M665T458_NEG,666.2212,11
[107],M725T458_NEG,725.2352,458.1,[M],[M+CH3COO]-,M665T458_NEG,666.2212,11
[107],M726T458_NEG,726.2401,458.1,[M+1],[M+CH3COO]-,M665T458_NEG,666.2212,11
[107],M727T458_NEG,727.2404,458.2,[M+2],[M+CH3COO]-,M665T458_NEG,666.2212,11
[108],M827T478_NEG,827.2666,477.7,[M],[M-H]-,M827T478_NEG,828.2739,11
[108],M828T478_NEG,828.2715,477.7,[M+1],[M-H]-,M827T478_NEG,828.2739,11
[108],M829T478_NEG,829.2732,477.7,[M+2],[M-H]-,M827T478_NEG,828.2739,11
[108],M830T478_NEG,830.2764,477.9,[M+3],[M-H]-,M827T478_NEG,828.2739,11
