peak_name,mz,rt,id_kegg,id_zhulab,name,formula,confidence_level,smiles,inchikey,isotope,adduct,total_score,mz_error,rt_error_abs,rt_error_rela,ms2_score,iden_score,iden_type,peak_group_id,base_peak,num_peaks,cons_formula_pred,stereo_isomer_id,stereo_isomer_name,Size_3_3,Size_3_1,Size_3_2,Size_5_1,Size_1_2,Size_4_2,Size_2_2,Size_2_3,Size_6_2,Size_1_3,Size_4_1,Size_2_1,Size_1_1,Size_6_1,Size_5_2
M220T289_NEG_b,220.0822,288.9,C00140,S0068,N-Acetyl-D-glucosamine,C8H15NO6,level2,[H]C(=O)[C@H](NC(C)=O)[C@@H](O)[C@H](O)[C@H](O)CO,MBLBDJOUHNCFQT-LXGUWJNJSA-N,[M],[M-H]-,2.71,2,NA,NA,0.9852,0.71,MS1 + ExpLib Match,[37],M220T289_NEG_[M-H]-,3,TRUE,NA,NA,4159344.0250599273,4867688.687323633,3080492.777816721,18826594.781047206,4037356.1560419877,2255804.6944708917,5037116.108498412,7320821.399534074,13307899.647379695,1473716.5169219084,954196.5714974349,8536472.776175374,8027184.234746006,5952675.399065011,24992034.655418124
M220T289_NEG_c,220.0822,288.9,C05021,L0459,N-Acetyl-D-galactosamine,C8H15NO6,level2,CC(=O)N[C@H]1[C@H](O)O[C@H](CO)[C@H](O)[C@@H]1O,OVRNDRQMDRJTHS-JAJWTYFOSA-N,[M],[M-H]-,2.7,2,NA,NA,0.965,0.7,MS1 + ExpLib Match,[37],M220T289_NEG_[M-H]-,3,TRUE,C00140;C00645;C01132;C02711;C03136;C03878;C05021;C20328;C21036;C21039;C21049;C21052;C21061,N-Acetyl-D-glucosamine;N-Acetyl-D-mannosamine;N-Acetyl-D-galactosamine;N-Acetylhexosamine;N-Acetyl-D-hexosamine;N-Acetyl-beta-D-glucosamine;N-Acetyl-beta-D-galactosamine;N-Acetyl-alpha-D-glucosamine;N-Acetyl-L-altrosamine;N-Acetyl-D-allosamine;N-Acetyl-D-gulosamine;N-Acetyl-L-idosamine;N-Acetyl-D-talosamine,4159344.0250599273,4867688.687323633,3080492.777816721,18826594.781047206,4037356.1560419877,2255804.6944708917,5037116.108498412,7320821.399534074,13307899.647379695,1473716.5169219084,954196.5714974349,8536472.776175374,8027184.234746006,5952675.399065011,24992034.655418124
M227T69_NEG,227.201,68.8,C06424,S0207,Myristic acid,C14H28O2,level2,CCCCCCCCCCCCCC(=O)O,TUNFSRHWOTWDNC-UHFFFAOYSA-N,[M],[M-H]-,2.7,2.7,NA,NA,1,0.7,MS1 + ExpLib Match,[38],M227T69_NEG_[M-H]-,3,TRUE,C06424,Tetradecanoic acid,19875111.182455085,18196722.447676703,31315035.620364934,44048996.2551273,14996542.63213858,28521197.71449157,15875514.365701415,26482443.008453194,10861497.740457354,31155767.464167286,23532846.09785304,27107888.957201455,31315830.017085932,15408101.100865526,31896439.680614688
M218T330_NEG,218.1027,329.5,C00864,L0174,Pantothenate,C9H17NO5,level2,CC(C)(CO)[C@H](C(=O)NCCC(=O)O)O,GHOKWGTUZJEAQD-ZETCQYMHSA-N,[M],[M-H]-,2.69,3.3,NA,NA,0.9858,0.69,MS1 + ExpLib Match,[36],M218T330_NEG_[M-H]-,4,TRUE,C00864,Pantothenate,68167931.92317963,61285155.84179037,73823280.49518663,218045575.53750402,70832706.19404696,53430787.622135796,122192470.05026037,48310919.179586574,278628684.6911096,72382723.27913514,48256098.229579024,137283051.97578382,67170958.01195502,71044986.89715457,279416123.83816284
M191T937_2_NEG_a,191.0189,936.9,C00158,S0027,Citrate,C6H8O7,level2,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,KRKNYBCHXYNGOX-UHFFFAOYSA-N,[M],[M-H]-,2.67,4.4,NA,NA,0.9837,0.67,MS1 + ExpLib Match,[31],M191T937_2_NEG_[M-H]-,4,TRUE,C00158,Citrate,2031707784.9939318,2071044477.822015,1709348164.8923378,2815286146.383662,2112315044.580183,1712773901.1500175,996927557.665677,1606070676.8800516,1633806606.7935808,1763206564.7791772,1662828269.027047,1779249949.303112,1518905005.0985806,1695695923.2996457,2311789696.8261204
M341T390_NEG_a,341.1087,390.1,C01083,S0313,Trehalose,C12H22O11,level2,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O)O)O,HDTRYLNUVZCQOY-LIZSDCNHSA-N,[M],[M-H]-,2.67,0.6,NA,NA,0.853,0.67,MS1 + ExpLib Match,[49],M341T390_NEG_[M-H]-,12,TRUE,C01083,"alpha,alpha-Trehalose",1233031191.32733,1842592319.994796,1890708025.7790387,2747009456.2255297,1076726910.4808848,1332058335.5349228,2373003130.696142,2060407479.0223005,3017667813.66587,1327674072.217314,1542081766.555204,2816355523.9365168,1322813495.7380354,1793152321.4968057,3192881160.5150723
M191T398_NEG,191.0552,397.8,C00296,L0443,Quinate,C7H12O6,level2,OC1CC(O)(CC(O)C1O)C(=O)O,AAWZDTNXLSGCEK-WYWMIBKRSA-N,[M],[M-H]-,2.66,4.7,NA,NA,0.9823,0.66,MS1 + ExpLib Match,[32],M191T398_NEG_[M-H]-,2,TRUE,C00296,Quinate,542751681.5135235,48733956.53884574,31982353.455275297,57149877.51553151,599546998.8392862,46113901.634065576,68792347.22922492,38855784.75688305,42867341.34197605,107414564.69075708,40094078.80981408,70800694.07191803,220738446.98776758,101678881.61347072,45368480.54598519
M204T104_NEG,204.1233,104,C05944,S0314,Pantothenol,C9H19NO4,level2,CC(C)(CO)C(O)C(=O)NCCCO,SNPLKNRPJHDVJA-UHFFFAOYSA-N,[M],[M-H]-,2.66,3.9,NA,NA,0.9437,0.66,MS1 + ExpLib Match,[35],M204T104_NEG_[M-H]-,2,TRUE,C05944,Pantothenol,17948955.56737343,11024121.00906526,29089649.455190253,15227278.552145172,10585769.366780719,21134933.36605189,24977143.01376421,20265324.419765677,8525390.381799791,38185005.407199875,15832174.36102195,12247650.228467789,10502766.766472083,11198872.456985474,17940050.818712875
M281T401_NEG_a,281.0879,401.5,NA,S0296,2'-O-methylinosine,C11H14N4O5,level2,COC1C(O)C(CO)OC1N1C=NC2=C1NC=NC2=O,HPHXOIULGYVAKW-UHFFFAOYSA-N,[M],[M-H]-,2.66,4.5,NA,NA,0.9769,0.66,MS1 + ExpLib Match,[47],M281T401_NEG_[M-H]-,7,TRUE,NA,NA,13955489.049691275,9192445.798213854,2667059.343176581,1385012.2064239858,12297421.662973776,2771148.736373634,2855000.8016832112,3094877.5268892404,14829203.066562181,1582921.6922753446,6972550.796422906,11153470.39747401,498485.0787861393,6863633.499223321,4145557.1119807223
M341T390_NEG_b,341.1087,390.1,C00089,S0033,Sucrose,C12H22O11,level2,C(C1(C(C(C(C(O1)(OC2(CO)C(C(C(CO)(O2)[H])(O)[H])(O)[H])[H])(O)[H])(O)[H])(O)[H])[H])O,CZMRCDWAGMRECN-IZUPKFJOSA-N,[M],[M-H]-,2.66,0.6,NA,NA,0.8487,0.66,MS1 + ExpLib Match,[49],M341T390_NEG_[M-H]-,12,TRUE,C00089;C04219;C18068,Sucrose;alpha-D-Aldosyl beta-D-fructoside;beta-D-Fructofuranosyl-alpha-D-mannopyranoside,1233031191.32733,1842592319.994796,1890708025.7790387,2747009456.2255297,1076726910.4808848,1332058335.5349228,2373003130.696142,2060407479.0223005,3017667813.66587,1327674072.217314,1542081766.555204,2816355523.9365168,1322813495.7380354,1793152321.4968057,3192881160.5150723
M173T421_NEG,173.0082,421,C02341,L0027,cis-Aconitate,C6H6O6,level2,C(/C(=C\C(=O)O)/C(=O)O)C(=O)O,GTZCVFVGUGFEME-HNQUOIGGSA-N,[M],[M-H]-,2.65,5.6,NA,NA,0.978,0.65,MS1 + ExpLib Match,[25],M173T421_NEG_[M-H]-,1,TRUE,C00417;C02341,cis-Aconitate;trans-Aconitate,122750842.12736914,142814105.7586493,80127045.3793989,246050183.428731,132321492.31495774,37457095.28129497,352671774.41293186,200923218.0064259,226969519.70863587,133361401.52046503,144379635.65307567,117483043.79210393,55059623.444293976,164648053.0918102,888430689.7478838
