"","Sample2_1","Sample3_1","Sample4_1","DI_1","Sample2_2","Sample3_2","Sample5_2","Sample7_2","DI_2","Sample2_4","Sample3_3","Sample4_3","Sample4_4","Sample5_3","Sample9_3","DI_3"
"M372T752_POS",6.67270992977368,6.7710136807934,6.77961030933048,6.77711744043956,6.38821157981479,6.86854357840686,6.89335453929737,6.87836137044234,6.91375553117722,7.04217912402968,6.58584019855245,7.02358550726149,7.10501491320526,7.03667656657705,6.65391666492109,6.69676618593422
"M372T856_POS",6.12523122161604,6.14106753612344,6.0049063032827,6.16683606243968,6.03916839940503,6.23609454126251,6.09504470691408,5.96149713953742,5.8795961842151,6.0178653763501,5.94331402539813,5.96044144427897,6.04628144624735,5.86211690109692,5.95159989561534,6.25907690190077
"M373T273_POS",5.96465825849574,5.982813202368,6.50600290789805,5.50469262592206,6.12356238402421,6.43401755461514,6.3939995700616,5.91471655378215,6.36465168840698,6.15062275063291,6.35428928807206,6.14809643282576,6.40592142651698,5.97002131382422,6.15151518810917,5.66505874903215
"M373T378_POS",7.10677583650725,7.16202080745295,7.13966208063504,7.17795069306523,7.16009272690288,7.13423948759427,7.19435693848306,7.1094904450346,6.38395952487582,7.12714113986202,7.17061044238055,7.16533969130432,7.12361953066385,7.11543926053424,7.17068330123105,7.1505768572019
"M373T412_POS",6.81679356255532,6.31968372974005,7.46415418847817,7.57141027684767,6.82219019998845,7.13453612885612,7.53080760211821,7.46606544971348,7.44054479767915,7.10531020013752,7.08787118324726,7.44012449599827,7.56435172563108,7.06545193636393,7.57870905952348,7.59941075794783
"M373T808_POS",6.80731755153717,6.79321710968874,6.79986850501369,6.79357278887629,6.77640127782032,6.94866479628318,6.7644613700731,6.81261945587249,6.80565089369492,6.79315434224187,6.80658403735942,6.78307889221344,6.87258718336924,6.70748403392325,6.76049137861063,6.8357825305677
"M373T349_POS",6.11487707866119,6.26412714364594,6.27477897772203,6.04632350418772,6.19023112446986,6.23022175824076,6.13431815390441,5.98699474847823,6.03997236306089,6.24458964837609,6.27909162234373,5.9850397135402,6.21226675057897,6.13090102003418,6.13987002906449,6.14536976592475
"M373T748_POS",6.0707424417281,5.99659560506764,5.99409476396448,6.29152561421988,5.93250717085721,6.22744630214058,5.74610059442524,6.02620987831058,5.8663514639351,5.94434242587972,5.80997169720204,5.91083563472879,6.2588545062403,5.82865187632186,5.85383251852091,5.71768067213074
"M373T550_POS",5.95980980653827,6.04733099543443,6.05071084740612,6.09689504367689,5.84550372799344,6.10795293946746,6.0114437672413,5.93072232133289,6.03066246617823,6.07867985961271,6.01091724041105,5.95045429288976,6.09121867279964,6.11216128865944,6.00799793862866,5.9591054580244
"M374T360_POS",6.08141411420052,6.13530384236696,5.96868354941955,5.77312264612743,6.21047708565699,5.99747207837588,5.95899457482154,6.28098613742433,6.19226528346386,6.08695350018797,6.58619152464256,6.29701489457208,5.9690498584408,5.93459281738031,6.09398296042309,5.89248432429654
"M374T256_POS",5.91093849099637,5.60299234050063,5.92982833641944,5.49893918379705,5.95732772905594,5.91184860055936,5.79387734074847,5.96926693958011,6.34452388230428,5.56671714228484,5.79970112495212,5.70759210581709,6.02950531941697,5.95056494001459,6.01527451313669,5.64700866748017
"M374T448_POS",5.94926656151598,5.9980965006938,5.68851369984565,5.71062530658047,5.85725779578039,6.00844132871443,5.61916603363363,5.62753762644926,5.82025370125368,6.10850045291952,5.97995347927184,5.60301780485901,6.33350917016636,5.63916328153757,5.75184501929017,5.78165368325817
"M374T412_POS",6.18167194650036,6.5561556904762,6.76803364025736,6.87495958218974,6.16049939749691,6.41656518095071,6.83250872799309,6.77087913751441,6.73277987305498,6.38084946544303,6.42179880611118,6.76665368480531,6.86329780820824,6.3565257957742,6.89314729797841,6.91845186644586
"M374T836_POS",6.59501867416148,6.60920212539945,6.50885841514624,6.62161524238194,6.61162416106006,6.73352182398048,6.54199001598921,6.75149982110038,6.59860433594362,6.59888393579675,6.56309692446713,6.54703796899368,6.71402237596214,6.61222881141962,6.58213948442153,6.65928760571799
"M374T713_POS",5.79842626607831,5.76115812061479,5.85985313619229,6.01685512872649,5.86215881229464,5.82949095570563,5.90483248369804,5.90274393645808,5.87060378335764,5.84557963670362,5.93497843245332,5.76118381455738,5.79115041774421,5.82523661823143,5.75458212930044,5.87544703990896
"M374T820_POS",6.88906885231034,6.90141854059564,6.84770356924865,6.90473764449711,6.84450058515884,6.95408388823202,6.84903084120681,6.89523120179062,6.92101991569007,6.83512945370519,6.80008980218892,6.83451053852713,6.83535856682596,6.80011254106392,6.83757762602987,6.88890615126835
"M374T808_POS",6.76546885128727,6.64781546418213,6.9734623807247,6.88960047105043,6.8040775642553,6.90262053171506,6.72467298324168,6.90687380455779,7.02915934098711,7.23114567836228,6.90288724128386,7.01735689413771,6.78006663031103,6.96861652854872,6.83612499950786,6.91808546934302
"M374T734_POS",6.0501231506545,5.9731351563902,5.98857315650464,5.89731716140535,5.97572775009612,5.9973101406818,5.91903145527707,6.00017326827697,6.00305776492334,6.02932334724184,6.03872090373477,6.02246725084459,6.02593542460973,6.05350328217245,5.99573797189415,6.03711608277656
"M374T760_POS",8.1928646044666,8.39874043316986,8.37910181104369,8.36680545459989,8.195292719482,8.25161302698573,8.24827862910838,8.11627818277876,8.04422481553026,8.3050766106846,8.28071366475408,8.17220242062198,8.31691264058275,8.14770528621021,8.353726359253,8.37934458773817
"M375T448_POS",6.72816648106579,7.19065600436079,7.47052262386949,7.16587608607505,6.69860963789519,7.0781406897915,7.33527922174858,7.2775011682503,7.33504277124736,7.2282556201337,6.88888322716075,6.80042900622961,7.13710721344395,7.32093901725211,7.35846045504798,7.20981620090287
"M375T111_POS",6.93738236332005,6.70787911224719,6.91789275980583,6.18231751084096,6.84351063987395,5.80235800762699,6.93025581079339,6.6537431501658,7.37329317360653,6.5816876352615,6.00905863008975,6.15796370197939,7.16914544356325,6.22732959671483,7.07298030632609,6.20512673269848
"M375T362_POS",5.73553783258019,5.58861433995778,5.53805325139566,5.98110950926506,5.60817015669436,5.74147149132939,5.90547662130899,6.1033638222973,6.02810749193022,5.79656237077948,5.73082609497218,5.8071757221211,5.76124182969476,5.73299609833323,6.18176451380038,5.96891419064841
