name,mz,rt,Annotation.type,annotated.from.ID,annotated.from.peak,ID,score,isotope,adduct,Formula,matched.frag,compound.name,peak.group,confidence
M346T274_POS,346.07388,273.69055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M346T700_POS,346.13626,700.34006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M346T265_POS,346.14915,264.66437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M346T798_POS,346.20668,798.43356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M346T784_POS,346.23539,784.30365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M346T706_POS,346.29503,706.26743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M346T721_2_POS,346.33042,720.83762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M346T758_POS,346.33166,758.229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M347T931_POS,347.09439,930.72717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M347T72_POS,347.0943,72.35147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M347T335_POS,347.11248,334.68102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M347T136_POS,347.11208,135.67153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M347T114_POS,347.1308,114.3917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M347T814_POS,347.21885,813.8985,seed,"NA","NA",C05488,0.634882393535189,[M],M+H,C21H30O4,1,11-Deoxycortisol,C05488_1,grade1
M347T784_POS,347.23805,784.30365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M347T854_POS,347.31503,854.4046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M347T721_POS,347.33492,720.83762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M348T475_POS,348.12831,475.02646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M348T360_POS,348.12835,359.72861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M348T322_POS,348.18011,321.76298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M348T814_POS,348.22204,813.89722,isotopeAnnotation,C05488,M347T814_POS,C05488,0.725420908196754,[M+1],M+H,C21H30O4,"NA",11-Deoxycortisol,C05488_1,grade1
M348T136_POS,348.26387,136.41791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M348T580_POS,348.27405,579.70285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M348T349_POS,348.27529,348.78172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M348T801_POS,348.28924,800.56415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M348T721_POS,348.33796,720.83762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M349T375_POS,348.72165,374.83937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M349T476_POS,349.13186,475.55371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M349T181_POS,349.14872,180.59232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M349T814_POS,349.22509,813.87119,isotopeAnnotation,C05488,M347T814_POS,C05488,0.732679266704612,[M+2],M+H,C21H30O4,"NA",11-Deoxycortisol,C05488_1,grade1
M349T745_POS,349.23494,744.59387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M349T367_POS,349.26461,366.8684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M350T367_1_POS,349.76615,366.84201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M350T80_POS,349.9925,79.75412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M350T181_POS,350.15204,180.72689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M350T745_POS,350.23812,744.95587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M350T765_POS,350.26873,764.55117,metAnnotation;metAnnotation;metAnnotation;metAnnotation;metAnnotation;metAnnotation;metAnnotation;metAnnotation;metAnnotation,C03681;C01953;C01227;C03681;C03681;C03681;C01953;C01953;KeggExd046636,M334T835_POS;M334T835_POS;M306T784_POS;M334T835_POS;M334T835_POS;M334T835_POS;M334T835_POS;M334T835_POS;M432T706_POS,C18040;C05485;C05138;KeggExd009618;KeggExd027214;KeggExd027217;C18038;KeggExd018239;KeggExd046633,2.65340472092436;2.63637986377379;2.62799517966209;2.61073232724027;2.61072711010604;2.61072711010604;2.51333076665167;2.5081595702516;0.588337172457364,[M];[M];[M];[M];[M];[M];[M];[M];[M],M+NH4;M+NH4;M+NH4;M+NH4;M+NH4;M+NH4;M+NH4;M+NH4;M+NH4,C21H32O3;C21H32O3;C21H32O3;C21H32O3;C21H32O3;C21H32O3;C21H32O3;C21H32O3;C21H32O3,39;39;41;39;39;39;39;39;6,5alpha-Dihydrodeoxycorticosterone;21-Hydroxypregnenolone;17alpha-Hydroxypregnenolone;NA;NA;NA;7alpha-Hydroxypregnenolone;NA;NA,C18040_1;C05485_1;C05138_1;KeggExd009618_1;KeggExd027214_1;KeggExd027217_1;C18038_1;KeggExd018239_1;KeggExd046633_1,grade2;grade2;grade2;grade2;grade2;grade2;grade2;grade2;grade2
M350T367_2_POS,350.26736,366.8432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M350T495_POS,350.28986,494.69678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M350T604_POS,350.28959,603.57538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M350T837_POS,350.30515,837.33557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M350T813_POS,350.32628,812.92709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M351T783_POS,351.17983,783.2771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M351T819_POS,351.25222,818.99512,metAnnotation;metAnnotation,C13713;C13713,M335T912_POS;M335T912_POS,C05476;KeggExd085099,2.87584160710983;2.87584160710983,[M];[M],M+H;M+H,C21H34O4;C21H34O4,44;44,Tetrahydrocorticosterone;NA,C05476_1;KeggExd085099_1,grade2;grade2
M351T409_POS,351.25116,409.18965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M351T723_POS,351.25245,722.70407,metAnnotation;metAnnotation;metAnnotation,C13713;C13713;C05478,M335T912_POS;M335T912_POS;M387T705_POS,C05476;KeggExd085099;C05483,2.16953083169756;2.16953083169756;0.841780052204114,[M];[M];[M],M+H;M+H;M+H,C21H34O4;C21H34O4;C21H34O4,31;31;8,"Tetrahydrocorticosterone;NA;3alpha,20alpha,21-Trihydroxy-5beta-pregnan-11-one",C05476_2;KeggExd085099_2;C05483_1,grade3;grade3;grade3
M351T700_POS,351.25252,700.28946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M351T765_POS,351.27212,764.51486,isotopeAnnotation;isotopeAnnotation;isotopeAnnotation;isotopeAnnotation;isotopeAnnotation;isotopeAnnotation;isotopeAnnotation;isotopeAnnotation;isotopeAnnotation,C05138;C05485;C18038;KeggExd018239;C18040;KeggExd009618;KeggExd027214;KeggExd027217;KeggExd046633,M350T765_POS;M350T765_POS;M350T765_POS;M350T765_POS;M350T765_POS;M350T765_POS;M350T765_POS;M350T765_POS;M350T765_POS,C05138;C05485;C18038;KeggExd018239;C18040;KeggExd009618;KeggExd027214;KeggExd027217;KeggExd046633,0.936822805258839;0.936822805258839;0.936822805258839;0.936822805258839;0.936822805258839;0.936822805258839;0.936822805258839;0.936822805258839;0.936822805258839,[M+1];[M+1];[M+1];[M+1];[M+1];[M+1];[M+1];[M+1];[M+1],M+NH4;M+NH4;M+NH4;M+NH4;M+NH4;M+NH4;M+NH4;M+NH4;M+NH4,C21H32O3;C21H32O3;C21H32O3;C21H32O3;C21H32O3;C21H32O3;C21H32O3;C21H32O3;C21H32O3,NA;NA;NA;NA;NA;NA;NA;NA;NA,17alpha-Hydroxypregnenolone;21-Hydroxypregnenolone;7alpha-Hydroxypregnenolone;NA;5alpha-Dihydrodeoxycorticosterone;NA;NA;NA;NA,C05138_1;C05485_1;C18038_1;KeggExd018239_1;C18040_1;KeggExd009618_1;KeggExd027214_1;KeggExd027217_1;KeggExd046633_1,grade2;grade2;grade2;grade2;grade2;grade2;grade2;grade2;grade2
M351T485_POS,351.28508,484.57486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
