peak.name,mzmed,mzmin,mzmax,rtmed,rtmin,rtmax,npeaks,QC,Size1,Size2,Size3,Size4,Size5,Size6,QC_N,QC1_1,QC1_2,QC2_1,QC2_2,QC3_1,QC3_2,QC4_1,QC4_2,Size_1_1,Size_1_2,Size_1_3,Size_2_1,Size_2_2,Size_2_3,Size_3_1,Size_3_2,Size_3_3,Size_4_1,Size_4_2,Size_5_1,Size_5_2,Size_6_1,Size_6_2
M336T508_NEG,336.1034467790734,336.1031090850483,336.10383163546805,508.0039367675781,504.80059814453125,510.63916015625,7,1,0,3,0,0,2,1,NA,NA,NA,NA,NA,NA,199434.3259937511,NA,NA,NA,NA,NA,615110.145583336,943173.726644891,376491.0106026798,NA,NA,NA,NA,NA,470088.65028124955,878272.8977698821,NA,1338107.1786129787
M336T142_NEG,336.13012885577575,336.1299016474279,336.130850928211,142.23159790039062,141.37142944335938,146.8377227783203,20,8,0,3,3,2,2,2,3626893.3293031175,5513579.806707326,2160012.6491406225,NA,1503857.8590722666,4004641.955478361,1926374.2491269587,3657482.240381508,2818130.6022569425,NA,NA,NA,6639552.358167618,1355659.6321406243,618819.3447005219,448181.6781968769,3810806.803710231,448181.6781968769,810993.5624166656,533847.0244843741,2720374.917811723,1746588.5837890627,8689585.01937501,14005816.131147133
M336T118_NEG,336.1304298848742,336.13019517369355,336.1306645960549,118.06704711914062,117.06842041015625,119.065673828125,2,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1007737.7126789071,676042.9341503906
M337T375_NEG,336.53185012330687,336.53185012330687,336.53185012330687,375.2265625,375.2265625,375.2265625,1,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,216571.76761015845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M337T919_NEG,336.95680453372995,336.95680453372995,336.95680453372995,918.73187255859375,918.73187255859375,918.73187255859375,1,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1581028.3601666694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M337T424_NEG,337.05687493775605,337.0563341696343,337.0572718287086,423.9252471923828,407.6017150878906,429.33380126953125,24,9,3,3,3,2,2,2,8342868.476572605,39959196.96867889,3661137.5507139503,22336510.873312507,3249397.51835697,18834444.351233374,3292088.5050334763,18028088.451236725,3764805.9206442744,1675528.281480468,13163163.401651427,2094506.0817620193,7803946.601545744,10687551.271240234,4685129.385914062,33958308.27886182,4958632.693232284,33958308.27886182,2154673.606671871,2991003.695576175,77313054.73142056,55585546.30348314,2413140.4887390668,12881582.005911898
M337T332_NEG,337.0544718402405,337.05417451068485,337.0547691697962,331.7342071533203,331.3534240722656,332.114990234375,2,0,0,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,895540.5199250015,744679.7167161444,NA,NA,NA,NA,NA,NA,NA,NA,NA
M337T157_NEG,337.0702247226278,337.0695369513358,337.0707958816562,156.96411895751953,145.7072296142578,174.0594940185547,26,9,3,3,3,2,2,2,71065077.83328858,12769016.039043942,79651062.35422917,18822374.033722814,76666274.0363878,55333846.05695513,75316774.54385243,62688833.638324,72615570.54589285,31651266.883781288,58449556.89993923,49694422.682232685,125576819.27757147,146723260.1016484,82265537.51801555,56087261.7486429,63413503.01171052,56087261.7486429,38925690.51555518,56878228.200959004,97163810.67951557,140700243.0079647,67191539.9265937,135978857.67200246
M337T360_NEG,337.0777222166479,337.0773960902153,337.0784304915692,359.81944274902344,348.4809875488281,371.3835144042969,26,9,3,3,3,2,2,2,46885505.297629155,87528295.13067515,42607667.606953114,67945020.53101021,48593203.14935205,48236716.744945735,42551425.42284371,61336765.5317147,45648118.64598247,24506438.485577513,30601554.259179674,34707518.11600245,61218238.798716806,79257198.93247955,61313274.68090367,33342735.78979167,60960380.859111205,33342735.78979167,53161102.35264527,28471058.35001006,85266233.37885389,70606316.97953355,77139721.15815866,64161122.33946356
M337T312_NEG,337.07768481606223,337.0773745058279,337.078173789132,312.15283203125,310.2734680175781,314.42889404296875,4,2,0,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,725905.6195562454,524062.5097499978,NA,NA,NA,NA,NA,NA,NA,NA,NA,606917.7191999954,NA,627434.6409518204,NA,NA,NA
