"variable_id","name","InChIKey","ClassyFy.Status","Kingdom","Superclass","Class","Subclass","Parent.Level.1","Parent.Level.2","Parent.Level.3","Parent.Level.4","Parent.Level.5"
"M118T932_POS","BETAINE","KWIUHFFTVRNATP-UHFFFAOYSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Alpha amino acids","",""
"M119T199_NEG","Erythrose","YTBSYETUWUMLBZ-PWECYVOMNA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Monosaccharides","","","",NA
"M119T67_POS","3,4-Dimethyl heptane","MAKRYGRRIKSDES-UHFFFAOYNA-N","Completed","Organic compounds","Hydrocarbons","Saturated hydrocarbons","Alkanes","Branched alkanes","","","",""
"M119T706_POS","alpha-Methylstyrene","KVVPHYFRCWHASD-UHFFFAOYSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","N-acyl-alpha amino acids and derivatives","",""
"M120T66_POS","Threonine","AYFVYJQAPQTCCC-UHFFFAOYSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Alpha amino acids","",NA
"M120T94_POS","Phenylethanolamine","ULSIYEODSMZIPX-UHFFFAOYSA-N","Completed","Organic compounds","Organic nitrogen compounds","Organonitrogen compounds","Amines","Aralkylamines","","","",NA
"M121T754_POS","Salicylic acid","YGSDEFSMJLZEOE-UHFFFAOYSA-N","Completed","Organic compounds","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Hydroxybenzoic acid derivatives","Salicylic acid and derivatives","Salicylic acids","",NA
"M121T77_POS","Phenylacetaldehyde","DTUQWGWMVIHBKE-UHFFFAOYSA-N","Completed","Organic compounds","Benzenoids","Benzene and substituted derivatives","Phenylacetaldehydes","Phenylacetaldehydes","","",NA,NA
"M122T136_POS","Phenylethylamine","BHHGXPLMPWCGHP-UHFFFAOYSA-N","Completed","Organic compounds","Benzenoids","Benzene and substituted derivatives","Phenethylamines","Phenethylamines","","","",NA
"M122T178_POS","O-aminobenzaldehyde","FXWFZIRWWNPPOV-UHFFFAOYSA-N","Completed","Organic compounds","Benzenoids","Benzene and substituted derivatives","Benzoyl derivatives","Benzoyl derivatives","","",NA,NA
"M122T189_POS","2,6-Dimethylaniline","UFFBMTHBGFGIHF-UHFFFAOYSA-N","Completed","Organic compounds","Benzenoids","Benzene and substituted derivatives","Xylenes","m-Xylenes","","","",NA
"M122T931_POS","2,4,6-Trimethylpyridine","BWZVCCNYKMEVEX-UHFFFAOYSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Pyridines and derivatives","Methylpyridines","Methylpyridines","","",NA,NA
"M124T917_POS","Histidinol","ZQISRDCJNBUVMM-UHFFFAOYSA-N","Completed","Organic compounds","Organic nitrogen compounds","Organonitrogen compounds","Amines","Aralkylamines","","","",NA
"M124T92_2_NEG","Taurine","XOAAWQZATWQOTB-UHFFFAOYSA-N","Completed","Organic compounds","Organic acids and derivatives","Organic sulfonic acids and derivatives","Organosulfonic acids and derivatives","Organosulfonic acids","","","",NA
"M128T362_NEG","Pyrrolidonecarboxylic acid","ODHCTXKNWHHXJC-UHFFFAOYSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Proline and derivatives","",""
"M130T345_1_NEG","D-Alloisoleucine","AGPKZVBTJJNPAG-CRCLSJGQSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Isoleucine and derivatives","",NA
"M130T405_NEG","4-Hydroxyproline","PMMYEEVYMWASQN-DMTCNVIQSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Proline and derivatives","",""
"M130T66_POS","DL-Pipecolinic acid","HXEACLLIILLPRG-UHFFFAOYSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Alpha amino acids","",NA
"M130T931_POS","Octylamine","NLKNQRATVPKPDG-UHFFFAOYSA-M","Completed","Inorganic compounds","Mixed metal/non-metal compounds","Alkali metal salts","Alkali metal iodides","Alkali metal iodides","","","",""
"M131T397_NEG","Succinic acid methyl ester","JDRMYOQETPMYQX-UHFFFAOYSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters","Fatty acid methyl esters","","","",NA
"M131T424_NEG","Asparagine","DCXYFEDJOCDNAF-REOHCLBHSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Asparagine and derivatives",NA,NA
"M131T931_POS","Tetraethylammonium","LSGBKABSSSIRJF-UHFFFAOYSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Triazines","1,3,5-triazines","1,3,5-triazines","","","",""
"M132T78_2_POS","L-Isoleucine","AGPKZVBTJJNPAG-WHFBIAKZSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Isoleucine and derivatives","",NA
"M133T444_2_NEG","L-Malic acid","BJEPYKJPYRNKOW-REOHCLBHSA-N","Completed","Organic compounds","Organic acids and derivatives","Hydroxy acids and derivatives","Beta hydroxy acids and derivatives","Beta hydroxy acids and derivatives","","","",NA
"M133T64_POS","L-Asparagine","DCXYFEDJOCDNAF-RUOZJJLTNA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Asparagine and derivatives",NA,NA
"M134T64_POS","L-beta-Homothreonine","NIVRJEWVLMOZNV-QWWZWVQMSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Beta amino acids and derivatives","","",""
"M135T395_POS","Chavicolp-Hydroxyallylbenzene","RGIBXDHONMXTLI-UHFFFAOYSA-N","Completed","Organic compounds","Benzenoids","Phenols","1-hydroxy-2-unsubstituted benzenoids","1-hydroxy-2-unsubstituted benzenoids","","","",""
"M135T399_NEG","L-threonate","JPIJQSOTBSSVTP-STHAYSLISA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Sugar acids and derivatives","","","",NA
"M137T395_POS","4-Propylphenol","DNOXHEYZHIAEEI-UHFFFAOYSA-N","Completed","Organic compounds","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Acylaminobenzoic acid and derivatives","","",NA,NA
"M137T496_POS","2-Hydroxyacetophenone","ZWVHTXAYIKBMEE-UHFFFAOYSA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbonyl compounds","Ketones","Aryl ketones","Phenylketones","Alkyl-phenylketones",NA
"M138T65_POS","N-methylnicotinate","WWNNZCOKKKDOPX-UHFFFAOYSA-N","Completed","Organic compounds","Alkaloids and derivatives","","","Alkaloids and derivatives","","","",NA
"M142T917_POS","L-Histidinol","OEHAYUOVELTAPG-UHFFFAOYSA-N","Completed","Organic compounds","Benzenoids","Benzene and substituted derivatives","Phenethylamines","Amphetamines and derivatives","","","",""
"M145T134_NEG","Ampelomin C","DKCGTIMNFPMKNS-VBGIBJMNNA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Alcohols and polyols","Secondary alcohols","Cyclohexanols","",NA,NA
"M145T423_NEG","Glutamine (D)"," ZDXPYRJPNDTMRX-GSVOUGTGSA-N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M146T423_NEG","(E)-5-(methylsulfanyl)pentanal oxime","KNFFJJFEYQLINT-FNORWQNLSA-N","Completed","Organic compounds","Organic nitrogen compounds","Organonitrogen compounds","Oximes","Aldoximes","","","",""
"M146T65_POS","3-Dehydroxycarnitine","JHPNVNIEXXLNTR-UHFFFAOYSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Straight chain fatty acids","","","",NA
"M147T447_POS","4-Coumaric acid","NGSWKAQJJWESNS-ZZXKWVIFSA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Cinnamic acids and derivatives","Hydroxycinnamic acids and derivatives","Hydroxycinnamic acids","","","",NA
"M147T447_POS","4-Coumaric acid","NGSWKAQJJWESNS-ZZXKWVIFSA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Cinnamic acids and derivatives","Hydroxycinnamic acids and derivatives","Hydroxycinnamic acids","","","",""
"M147T65_POS","5-OXO-L-PROLINE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M148T354_NEG","p-Hydroxymandelonitrile","HOOOPXDSCKBLFG-UHFFFAOYNA-N","Completed","Organic compounds","Benzenoids","Phenols","1-hydroxy-2-unsubstituted benzenoids","1-hydroxy-2-unsubstituted benzenoids","","","",NA
"M148T429_NEG","2-Amino-3-nitraminopropionic acid","QMXHUFVYJLFLRY-REOHCLBHSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Alpha amino acids","",""
"M148T447_POS","Cinnamate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
