name,mz,rt,Annotation.type,annotated.from.ID,annotated.from.peak,ID,score,isotope,adduct,Formula,matched.frag,compound.name,peak.group,confidence
M100T537_NEG,99.92356,537.21576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M100T399_2_NEG,99.9348,399.03645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M100T399_3_NEG,100.03881,398.63171,seed,"NA","NA",C01234,0.898384122648624,[M],M-H,C4H7NO2,1,1-Aminocyclopropane-1-carboxylate,C01234_1,grade1
M100T399_4_NEG,100.1423,398.69423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M100T399_5_NEG,100.29681,398.68176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M101T264_NEG,101.02291,264.47803,metAnnotation,C01234,M160T398_NEG,C00109,0.460638919145568,[M],M-H,C4H6O3,6,2-Oxobutanoate,C00109_1,grade3
M101T199_NEG,101.02291,199.33401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M101T399_2_NEG,101.04212,398.66003,isotopeAnnotation,C01234,M100T399_3_NEG,C01234,0.939650676164857,[M+1],M-H,C4H7NO2,"NA",1-Aminocyclopropane-1-carboxylate,C01234_1,grade1
M102T199_NEG,102.02623,199.30038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M102T399_NEG,102.04306,398.66003,isotopeAnnotation,C01234,M100T399_3_NEG,C01234,0.886971625699079,[M+2],M-H,C4H7NO2,"NA",1-Aminocyclopropane-1-carboxylate,C01234_1,grade1
M102T452_NEG,102.05448,452.01564,seed;seed;seed,NA;NA;NA,NA;NA;NA,C00334;C01026;C02356,0.893748181182951;0.888251166534526;0.795390242900536,[M];[M];[M],M-H;M-H;M-H,C4H9NO2;C4H9NO2;C4H9NO2,2;2;1,"4-Aminobutanoate;N,N-Dimethylglycine;(S)-2-Aminobutanoate",C00334_1;C01026_1;C02356_1,grade1;grade1;grade1
M102T433_NEG,102.05448,433.10495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M102T537_2_NEG,102.47949,537.07434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M103T399_NEG,103.00218,398.63831,seed;seed,NA;NA,NA;NA,C00383;C00168,0.81794087039551;0.560256614720044,[M];[M],M-H;M-H,C3H4O4;C3H4O4,2;2,Malonate;Hydroxypyruvate,C00383_1;C00168_1,grade1;grade1
M103T140_NEG,103.00217,139.58539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M104T140_NEG,104.00554,139.663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M104T424_NEG,104.03378,423.94894,metAnnotation,C00078,M203T345_NEG,C00065,0.876933916037509,[M],M-H,C3H7NO3,2,L-Serine,C00065_1,grade3
M106T961_NEG,106.00317,960.60522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M107T96_NEG,106.97938,95.95382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M107T422_NEG,107.0236,421.56996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M109T156_NEG,108.90049,156.09604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M110T493_1_NEG,109.92747,492.61586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M110T950_NEG,109.99812,949.80548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M110T492_1_NEG,110.03896,492.38556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M110T492_2_NEG,110.15033,492.21907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M111T157_NEG,110.89747,156.80939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M111T72_NEG,110.97427,71.95224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M111T937_NEG,111.00726,936.93271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M111T100_NEG,111.01854,100.31204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M112T95_NEG,111.81395,95.4867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M112T89_NEG,112.01377,88.75039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M112T943_NEG,112.01374,942.95248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M113T65_NEG,112.98415,65.38837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M113T96_NEG,112.99783,96.20622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M113T263_NEG,113.02292,263.11685,metAnnotation;metAnnotation;metAnnotation,C04181;C04181;C00900,M131T263_NEG;M131T263_NEG;M131T263_NEG,C00900;C06010;C04181,0.755840133906754;0.755840133906754;0.748652846850212,[M];[M];[M],M-H2O-H;M-H2O-H;M-H2O-H,C5H8O4;C5H8O4;C5H8O4,11;11;11,2-Acetolactate;(S)-2-Acetolactate;3-Hydroxy-3-methyl-2-oxobutanoic acid,C00900_1;C06010_1;C04181_1,grade4;grade4;grade4
M113T326_NEG,113.02292,326.26816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M114T186_NEG,114.02944,185.66661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M114T384_NEG,114.05461,384.16524,seed;seed,NA;NA,NA;NA,C00763;C00148,0.798709983898424;0.798709983898424,[M];[M],M-H;M-H,C5H9NO2;C5H9NO2,1;1,D-Proline;L-Proline,C00763_1;C00148_1,grade1;grade1
M115T448_NEG,115.0022,447.64514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M115T95_NEG,115.07501,95.17238,seed,"NA","NA",C21399,0.731157163051968,[M],M-H,C6H12O2,1,Isocaproate,C21399_1,grade1
M116T67_NEG,115.91928,67.06731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M116T371_NEG,116.07027,371.23689,seed;seed,NA;NA,NA;NA,C00183;C00431,0.894252131440886;0.674642897132747,[M];[M],M-H;M-H,C5H11NO2;C5H11NO2,1;1,L-Valine;5-Aminopentanoate,C00183_1;C00431_1,grade1;grade1
M117T417_NEG,117.01786,417.37253,metAnnotation,C00232,M101T264_NEG,C00042,0.574624910068035,[M],M-H,C4H6O4,4,Succinate,C00042_2,grade3
M117T353_NEG,117.01786,353.15891,seed,"NA","NA",C00042,0.630193806285163,[M],M-H,C4H6O4,4,Succinate,C00042_1,grade1
M118T90_NEG,118.00331,89.59686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M118T408_1_NEG,118.04954,408.25755,seed,"NA","NA",C00263,0.834247735975049,[M],M-H,C4H9NO3,1,L-Homoserine,C00263_2,grade1
M119T326_NEG,119.03355,326.32344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M119T199_NEG,119.03355,199.37253,metAnnotation;metAnnotation,C00186;C00168,M71T399_NEG;M103T399_NEG,C00033;C00266,0.719585946635638;0.699088768561283,[M];[M],M+CH3COO;M+CH3COO,C2H4O2;C2H4O2,1;1,Acetate;Glycolaldehyde,C00033_1;C00266_1,grade3;grade3
M119T263_NEG,119.03355,263.1604,metAnnotation;metAnnotation,C00140;C00168,M220T289_NEG;M103T399_NEG,C00033;C00266,0.914876972580468;0.891736454855079,[M];[M],M+CH3COO;M+CH3COO,C2H4O2;C2H4O2,10;1,Acetate;Glycolaldehyde,C00033_2;C00266_2,grade3;grade3
M121T956_NEG,121.00297,955.75757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M121T1074_NEG,121.00298,1074.12561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M121T1018_NEG,121.00297,1017.63666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M122T117_NEG,121.82776,117.26624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M122T961_NEG,121.99819,960.5593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M122T64_NEG,121.99819,63.75861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M122T1073_NEG,121.99818,1073.28113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M122T1016_NEG,121.99818,1015.72571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M124T92_2_NEG,124.00268,91.93219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M125T91_NEG,124.99788,90.63985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M125T405_NEG,124.99788,405.34714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M125T1076_NEG,124.99788,1076.05499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M126T324_NEG,126.01834,324.32826,metAnnotation,C00064,M127T423_NEG,C00940,0.776877528220195,[M],M-H2O-H,C5H7NO4,3,2-Oxoglutaramate,C00940_1,grade4
M127T961_NEG,126.96907,961.11868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M127T65_NEG,126.96909,64.54345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M127T1073_NEG,126.96903,1073.21869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M127T423_NEG,127.04995,422.96863,metAnnotation,C00940,M126T324_NEG,C00064,0.861137729874958,[M],M-H2O-H,C5H10N2O3,3,L-Glutamine,C00064_1,grade1
M128T362_NEG,128.03396,362.23257,seed,"NA","NA",C01879,0.88554515485311,[M],M-H,C5H7NO3,1,5-Oxoproline,C01879_1,grade1
M129T362_NEG,129.03733,362.31696,isotopeAnnotation,C01879,M128T362_NEG,C01879,0.946163185588721,[M+1],M-H,C5H7NO3,"NA",5-Oxoproline,C01879_1,grade1
M129T99_NEG,129.0544,98.57174,seed;seed;seed,NA;NA;NA,NA;NA;NA,C00902;C00233;C03465,0.877964758425552;0.762392953677161;0.729818696569122,[M];[M];[M],M-H;M-H;M-H,C6H10O3;C6H10O3;C6H10O3,1;1;1,2-Oxohexanoic acid;4-Methyl-2-oxopentanoate;NA,C00902_1;C00233_1;C03465_1,grade1;grade1;grade1
M130T405_NEG,130.04961,404.50278,seed;seed;seed,NA;NA;NA,NA;NA;NA,C03440;C01157;C00430,0.84908521379362;0.82418521379362;0.652781533791946,[M];[M];[M],M-H;M-H;M-H,C5H9NO3;C5H9NO3;C5H9NO3,5;7;2,cis-4-Hydroxy-D-proline;Hydroxyproline;5-Aminolevulinate,C03440_1;C01157_1;C00430_1,grade1;grade1;grade1
M130T345_1_NEG,130.08601,345.19272,seed;seed;seed,NA;NA;NA,NA;NA;NA,C00407;C00123;C01933,0.896978773803998;0.886049148380022;0.794430992473829,[M];[M];[M],M-H;M-H;M-H,C6H13NO2;C6H13NO2;C6H13NO2,1;1;1,L-Isoleucine;L-Leucine;L-Norleucine,C00407_1;C00123_1;C01933_1,grade1;grade1;grade1
M131T397_NEG,131.03362,396.86252,seed,"NA","NA",C00489,0.738450522828419,[M],M-H,C5H8O4,3,Glutarate,C00489_1,grade1
M131T263_NEG,131.03362,263.33391,metAnnotation,C02207,M160T398_NEG,C00546,1.02922275535964,[M],M+CH3COO,C3H4O2,12,Methylglyoxal,C00546_2,grade1
M131T199_NEG,131.03364,198.87494,metAnnotation,C02207,M160T398_NEG,C00546,0.775789189856332,[M],M+CH3COO,C3H4O2,11,Methylglyoxal,C00546_1,grade3
M131T424_NEG,131.04481,423.99319,seed,"NA","NA",C00152,0.755166887046432,[M],M-H,C4H8N2O3,9,L-Asparagine,C00152_1,grade1
M133T444_2_NEG,133.01288,444.10188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M133T937_NEG,133.0129,936.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M133T622_NEG,133.01292,622.30139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M133T442_NEG,133.17147,442.00336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M134T91_NEG,133.99825,90.85698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M134T363_NEG,133.99826,363.11293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M134T135_2_NEG,133.99826,134.65184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M134T188_NEG,133.99826,187.84132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M134T237_NEG,133.99826,236.58701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M134T289_NEG,133.99826,289.00139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M134T447_NEG,134.01619,446.58659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M134T415_NEG,133.99825,414.54559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M135T941_NEG,134.89334,941.41632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M135T399_NEG,135.02851,398.60495,seed,"NA","NA",C01620,0.683443961306737,[M],M-H,C4H8O5,8,Threonate,C01620_3,grade1
M135T445_NEG,135.01702,445.20343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M137T942_NEG,136.89037,941.85144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M137T947_NEG,136.99802,946.76007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M137T1075_NEG,136.99801,1074.54744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M137T1022_2_NEG,136.99801,1021.91248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M137T429_NEG,137.29355,428.6958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M138T963_NEG,137.98196,962.6312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M138T1025_NEG,137.98196,1024.58301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M138T1069_NEG,137.98195,1069.35742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M139T376_NEG,139.00243,376.0672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M139T202_NEG,139.00241,201.61455,metAnnotation,C00222,M175T211_NEG,C00804,0.433009981832336,[M],2M-H,C3H2O2,5,Propynoate,C00804_1,grade4
M140T948_NEG,139.9976,947.90509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M140T1073_NEG,139.9976,1072.77264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M141T939_NEG,140.98474,939.035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M142T358_NEG,142.04966,358.25745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M143T263_NEG,143.03376,263.24097,metAnnotation,C02207,M160T398_NEG,C00546,1.09188324905138,[M],2M-H,C3H4O2,13,Methylglyoxal,C00546_2,grade1
M143T326_NEG,143.03376,326.3085,metAnnotation,C02207,M160T398_NEG,C00546,0.966518027880817,[M],2M-H,C3H4O2,13,Methylglyoxal,C00546_3,grade1
M144T70_NEG,144.04422,70.00035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M144T263_NEG,144.03703,263.24097,isotopeAnnotation,C00546,M143T263_NEG,C00546,0.929008208408614,[M+1],2M-H,C3H4O2,"NA",Methylglyoxal,C00546_2,grade1
M145T423_NEG,145.06061,422.65854,seed,"NA","NA",C00064,0.773614795715152,[M],M-H,C5H10N2O3,12,L-Glutamine,C00064_1,grade1
M145T134_NEG,145.0857,133.63481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M146T990_NEG,145.99835,989.70834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M146T1067_NEG,145.99826,1067.07776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M146T433_2_NEG,146.04465,433.10475,seed,"NA","NA",C00025,0.771877113457678,[M],M-H,C5H9NO4,3,L-Glutamate,C00025_2,grade1
M146T423_NEG,146.06391,422.72278,isotopeAnnotation,C00064,M145T423_NEG,C00064,0.974809549069649,[M+1],M-H,C5H10N2O3,"NA",L-Glutamine,C00064_1,grade1
M147T429_1_NEG,147.0286,428.87314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M147T273_NEG,147.02872,272.97866,metAnnotation,C01013,M71T399_NEG,C00222,0.913602711117742,[M],M+CH3COO,C3H4O3,1,3-Oxopropanoate,C00222_1,grade3
M148T429_NEG,148.03195,428.96951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M148T354_NEG,148.04263,354.33716,metAnnotation,C17234,M160T398_NEG,C00073,0.820940537653109,[M],M-H,C5H11NO2S,8,L-Methionine,C00073_1,grade3
M149T398_1_NEG,149.04422,397.76181,metAnnotation;metAnnotation;metAnnotation;metAnnotation;metAnnotation;metAnnotation;metAnnotation;metAnnotation;metAnnotation;metAnnotation,C00309;C00310;C00310;C00312;C00508;C00121;C00181;C01508;C00259;C00309,M149T331_NEG;M149T331_NEG;M149T331_NEG;M149T331_NEG;M149T331_NEG;M149T331_NEG;M149T331_NEG;M149T331_NEG;M149T331_NEG;M149T331_NEG,C00216;C00181;C00476;C01508;C00259;C00309;C00310;C00312;C00508;C00121,0.936132341553715;0.936132341553715;0.936132341553715;0.936132341553715;0.936132341553715;0.901631606819248;0.901631606819248;0.901631606819248;0.901631606819248;0.890658297472747,[M];[M];[M];[M];[M];[M];[M];[M];[M];[M],M-H;M-H;M-H;M-H;M-H;M-H;M-H;M-H;M-H;M-H,C5H10O5;C5H10O5;C5H10O5;C5H10O5;C5H10O5;C5H10O5;C5H10O5;C5H10O5;C5H10O5;C5H10O5,11;11;11;11;11;11;11;11;11;11,D-Arabinose;D-Xylose;D-Lyxose;L-Lyxose;L-Arabinose;D-Ribulose;D-Xylulose;L-Xylulose;L-Ribulose;D-Ribose,C00216_2;C00181_2;C00476_2;C01508_2;C00259_2;C00309_2;C00310_2;C00312_2;C00508_2;C00121_2,grade2;grade2;grade2;grade2;grade2;grade2;grade2;grade2;grade2;grade2
M149T369_NEG,149.04432,369.26971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
